,default,gaussianBlur,jitter
100,0.03200000151991844,0.00800000037997961,0.4259999990463257
200,0.4560000002384186,0.12099999934434891,0.8679999709129333
300,0.8999999761581421,0.5799999833106995,0.6850000023841858
400,0.3330000042915344,0.8299999833106995,0.0020000000949949026
500,0.9440000057220459,0.008999999612569809,0.0010000000474974513
600,0.2529999911785126,0.07500000298023224,0.0
700,0.03400000184774399,0.004999999888241291,0.0
800,0.5849999785423279,0.0010000000474974513,0.0
900,0.515999972820282,0.006000000052154064,0.0
1000,0.4909999966621399,0.0,0.0
