,raw,pca,resnet,resnetpca
100,0.01325380802154541,0.014411568641662598,0.009789705276489258,0.009993314743041992
200,0.010036945343017578,0.010455846786499023,0.010925889015197754,0.011116981506347656
300,0.011575102806091309,0.012193560600280762,0.014131426811218262,0.014136672019958496
400,0.01266324520111084,0.013559460639953613,0.014049768447875977,0.013207197189331055
500,0.013336181640625,0.014064431190490723,0.03143572807312012,0.027473807334899902
600,0.010802626609802246,0.010833382606506348,0.021269917488098145,0.02023625373840332
700,0.012800216674804688,0.012791275978088379,0.04319334030151367,0.03617870807647705
800,0.01190948486328125,0.01175069808959961,0.04249453544616699,0.03794300556182861
900,0.014832735061645508,0.014590620994567871,0.060334205627441406,0.051212430000305176
1000,0.011607050895690918,0.010661721229553223,0.07110071182250977,0.059769272804260254
