,raw,resnetpca,pca,resnet
100,0.010362744331359863,0.011316537857055664,0.009459137916564941,0.010928511619567871
200,0.012163758277893066,0.010911345481872559,0.010494232177734375,0.010784745216369629
300,0.011811137199401855,0.011645197868347168,0.009815812110900879,0.012160539627075195
400,0.011075854301452637,0.015041112899780273,0.010843753814697266,0.012330174446105957
500,0.011451482772827148,0.010858416557312012,0.014802098274230957,0.017293930053710938
600,0.011441826820373535,0.015126347541809082,0.012803435325622559,0.015287399291992188
700,0.010997176170349121,0.015100836753845215,0.009755849838256836,0.026102900505065918
800,0.015408039093017578,0.010761022567749023,0.00914621353149414,0.025805115699768066
900,0.012577533721923828,0.02937769889831543,0.00965738296508789,0.04012930393218994
1000,0.010246634483337402,0.024846792221069336,0.012278437614440918,0.033354759216308594
