,resnetpca10,resnetpca50,resnetpca100,resnet
100,0.00965726375579834,0.011661529541015625,0.009394288063049316,0.010928511619567871
200,0.01083230972290039,0.011856794357299805,0.015600919723510742,0.010784745216369629
300,0.009145736694335938,0.011762619018554688,0.012379288673400879,0.012160539627075195
400,0.009893178939819336,0.013157129287719727,0.012691974639892578,0.012330174446105957
500,0.011573553085327148,0.014448285102844238,0.015446662902832031,0.017293930053710938
600,0.013468265533447266,0.017376065254211426,0.018684744834899902,0.015287399291992188
700,0.014964461326599121,0.01881587505340576,0.015860319137573242,0.026102900505065918
800,0.013853311538696289,0.014458417892456055,0.024864673614501953,0.025805115699768066
900,0.02005600929260254,0.033161044120788574,0.029497504234313965,0.04012930393218994
1000,0.023900866508483887,0.028738856315612793,0.03200829029083252,0.033354759216308594
