,windowsize100,windowsize50,windowsize200
100,0.00965726375579834,0.01784372329711914,
200,0.01083230972290039,0.022877931594848633,0.007279753684997559
300,0.009145736694335938,0.01870584487915039,
400,0.009893178939819336,0.024938344955444336,0.008821487426757812
500,0.011573553085327148,0.025556445121765137,
600,0.013468265533447266,0.028111815452575684,0.008796453475952148
700,0.014964461326599121,0.020471572875976562,
800,0.013853311538696289,0.017858028411865234,0.010137438774108887
900,0.02005600929260254,0.03636753559112549,
1000,0.023900866508483887,0.04376184940338135,0.016870737075805664
50,,0.027408599853515625,
150,,0.030326008796691895,
250,,0.02113163471221924,
350,,0.026123642921447754,
450,,0.020622849464416504,
550,,0.021839380264282227,
650,,0.025222182273864746,
750,,0.018095731735229492,
850,,0.03857219219207764,
950,,0.025328636169433594,
